,State,Year,Quarter,Name,Type,Count,Amount
204,arunachal-pradesh,2021,1,Others,TOTAL,3074,3301662.6094231335
205,arunachal-pradesh,2021,2,Peer-to-peer payments,TOTAL,762946,4000960152.0755496
206,arunachal-pradesh,2021,2,Recharge & bill payments,TOTAL,556680,165579844.25105897
207,arunachal-pradesh,2021,2,Merchant payments,TOTAL,243375,283709438.5363142
208,arunachal-pradesh,2021,2,Financial Services,TOTAL,1582,2761076.7934988844
209,arunachal-pradesh,2021,2,Others,TOTAL,3755,3415105.3379601175
210,assam,2018,1,Recharge & bill payments,TOTAL,632092,93491181.14056379
211,assam,2018,1,Peer-to-peer payments,TOTAL,318025,993525195.9818655
212,assam,2018,1,Merchant payments,TOTAL,40482,34501622.89266755
213,assam,2018,1,Financial Services,TOTAL,18172,4936862.200688562
214,assam,2018,1,Others,TOTAL,48110,31349593.99668264
215,assam,2018,2,Recharge & bill payments,TOTAL,984160,174427478.21340805
216,assam,2018,2,Peer-to-peer payments,TOTAL,530781,2064314053.1339972
217,assam,2018,2,Merchant payments,TOTAL,79307,73366344.80739225
218,assam,2018,2,Financial Services,TOTAL,22773,7051504.657611102
219,assam,2018,2,Others,TOTAL,46852,31425754.725386057
220,assam,2018,3,Recharge & bill payments,TOTAL,1275136,254569069.32411742
221,assam,2018,3,Peer-to-peer payments,TOTAL,843571,3424136709.5088205
222,assam,2018,3,Merchant payments,TOTAL,159532,96783839.37466942
223,assam,2018,3,Financial Services,TOTAL,22677,4741123.821880115
224,assam,2018,3,Others,TOTAL,50935,30904247.884785894
225,assam,2018,4,Recharge & bill payments,TOTAL,1703488,317661277.3470997
226,assam,2018,4,Peer-to-peer payments,TOTAL,1279089,5284776455.070784
227,assam,2018,4,Merchant payments,TOTAL,667293,240563395.2777939
228,assam,2018,4,Financial Services,TOTAL,28035,6331912.52655252
229,assam,2018,4,Others,TOTAL,56267,38689818.79087821
230,assam,2019,1,Recharge & bill payments,TOTAL,1993220,400281677.94382846
231,assam,2019,1,Peer-to-peer payments,TOTAL,1976310,7291433300.700247
232,assam,2019,1,Merchant payments,TOTAL,494871,266644645.74929428
233,assam,2019,1,Financial Services,TOTAL,20162,4612454.1127945455
234,assam,2019,1,Others,TOTAL,48442,39127457.944687635
235,assam,2019,2,Recharge & bill payments,TOTAL,2512932,539315772.8606573
236,assam,2019,2,Peer-to-peer payments,TOTAL,2293770,10035232820.852964
237,assam,2019,2,Merchant payments,TOTAL,573646,326844709.5879724
238,assam,2019,2,Financial Services,TOTAL,13654,4037222.414240564
239,assam,2019,2,Others,TOTAL,60927,49538663.41037582
240,assam,2019,3,Peer-to-peer payments,TOTAL,2713539,11835800855.176552
241,assam,2019,3,Recharge & bill payments,TOTAL,2645302,639885372.7480905
242,assam,2019,3,Merchant payments,TOTAL,513728,421380275.4207429
243,assam,2019,3,Financial Services,TOTAL,8606,6403456.344768786
